Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media
Athletic;Sancet;Centrocampista;11;8340000;2;1;1;5.50
Barcelona;De Jong;Centrocampista;11;8250000;2;0;2;5.50
Valencia;Raba;Delantero;11;6140000;3;2;1;3.67
Atlético;Thiago Almada;Centrocampista;11;5870000;3;1;2;3.67
Real Madrid;Militão;Defensa;11;5120000;2;2;0;5.50
Valencia;Javi Guerra;Centrocampista;11;5110000;3;2;1;3.67
Celta;Bryan Zaragoza;Delantero;11;5080000;4;3;1;2.75
Real Sociedad;Remiro;Portero;11;5000000;3;1;2;3.67
Mallorca;Raíllo;Defensa;11;4350000;3;2;1;3.67
Celta;Marcos Alonso;Defensa;11;3910000;3;2;1;3.67
Sevilla;Rubén Vargas;Delantero;11;3090000;2;1;1;5.50
Mallorca;Mojica;Defensa;11;2800000;3;2;1;3.67
Athletic;Yuri;Defensa;11;2720000;3;2;1;3.67
Real Oviedo;Chaira;Delantero;11;2380000;3;2;1;3.67
Alavés;Aleñá;Centrocampista;11;2330000;3;2;1;3.67
Sevilla;Carmona;Defensa;11;1920000;3;1;2;3.67
Levante;Oriol Rey;Centrocampista;11;1910000;3;1;2;3.67
Levante;Manu Sánchez;Defensa;11;1890000;3;1;2;3.67
Espanyol;Pol Lozano;Centrocampista;11;1690000;3;2;1;3.67
Barcelona;Christensen;Defensa;11;1300000;2;0;2;5.50
Elche;Neto;Centrocampista;11;1050000;3;2;1;3.67
Elche;Marc Aguado;Centrocampista;11;1010000;3;2;1;3.67
Real Oviedo;David Costas;Defensa;11;800000;2;2;0;5.50
Athletic;Unai Simón;Portero;10;5630000;3;2;1;3.33
Real Sociedad;Brais Méndez;Centrocampista;10;5090000;3;1;2;3.33
Getafe;David Soria;Portero;10;5010000;3;0;3;3.33
Villarreal;Thomas;Centrocampista;10;4770000;3;2;1;3.33
Mallorca;Leo Román;Portero;10;4200000;3;2;1;3.33
Rayo Vallecano;Ratiu;Defensa;10;4180000;3;1;2;3.33
Athletic;Jauregizar;Centrocampista;10;4130000;3;2;1;3.33
Girona;Tsygankov;Delantero;10;4020000;2;1;1;5.00
Espanyol;Roberto Fernández;Delantero;10;3900000;3;2;1;3.33
Athletic;De Galarreta;Centrocampista;10;3480000;2;2;0;5.00
Rayo Vallecano;Pedro Díaz;Centrocampista;10;3050000;3;1;2;3.33
Getafe;Diego Rico;Defensa;10;2990000;3;0;3;3.33
Girona;Asprilla;Delantero;10;2320000;3;2;1;3.33
Sevilla;Ejuke;Delantero;10;1940000;3;1;2;3.33
Girona;Vitor Reis;Defensa;10;1920000;3;2;1;3.33
Sevilla;Gudelj;Defensa;10;1840000;3;1;2;3.33
Celta;Javi Rodríguez;Defensa;10;1720000;4;3;1;2.50
Getafe;Davinchi;Defensa;10;1610000;3;0;3;3.33
Osasuna;Juan Cruz;Defensa;10;690000;3;1;2;3.33
Atlético;Sørloth;Delantero;9;6880000;3;1;2;3.00
Atlético;Johnny;Centrocampista;9;6110000;3;1;2;3.00
Real Madrid;Trent;Defensa;9;5800000;3;2;1;3.00
Betis;Cucho;Delantero;9;5620000;4;2;2;2.25
Getafe;Arambarri;Centrocampista;9;5400000;3;0;3;3.00
Barcelona;Ronald Araújo;Defensa;9;4940000;2;0;2;4.50
Valencia;Agirrezabala;Portero;9;4350000;3;2;1;3.00
Atlético;Le Normand;Defensa;9;3630000;3;1;2;3.00
Athletic;Sannadi;Delantero;9;3030000;3;2;1;3.00
Real Sociedad;Pablo Marín;Centrocampista;9;2480000;3;1;2;3.00
Sevilla;Alfon González;Delantero;9;2460000;1;0;1;9.00
Elche;Febas;Centrocampista;9;2450000;3;2;1;3.00
Betis;Pau López;Portero;9;2110000;2;1;1;4.50
Valencia;Santamaria;Centrocampista;9;1990000;3;2;1;3.00
Espanyol;Dolan;Delantero;9;1450000;3;2;1;3.00
Sevilla;Juanlu;Centrocampista;9;1200000;3;1;2;3.00
Celta;Manu Fernández;Defensa;9;180000;2;1;1;4.50
Valencia;Pepelu;Centrocampista;8;3830000;3;2;1;2.67
Real Sociedad;Sergio Gómez;Centrocampista;8;3480000;3;1;2;2.67
Espanyol;Terrats;Centrocampista;8;2930000;3;2;1;2.67
Espanyol;Kike García;Delantero;8;2920000;3;2;1;2.67
Real Madrid;Brahim;Delantero;8;2820000;3;2;1;2.67
Real Sociedad;Gorrotxategi;Centrocampista;8;2500000;2;1;1;4.00
Real Sociedad;Zubeldia;Defensa;8;2480000;3;1;2;2.67
Elche;Álvaro Rodríguez;Delantero;8;2260000;3;2;1;2.67
Valencia;Copete;Defensa;8;2060000;3;2;1;2.67
Real Oviedo;Nacho Vidal;Defensa;8;2050000;3;2;1;2.67
Levante;Pablo Martínez;Centrocampista;8;2010000;3;1;2;2.67
Getafe;Mario Martín;Centrocampista;8;1820000;3;0;3;2.67
Girona;David López;Defensa;8;1570000;3;2;1;2.67
Valencia;Foulquier;Defensa;8;1540000;3;2;1;2.67
Real Sociedad;Turrientes;Centrocampista;8;1500000;3;1;2;2.67
Atlético;Gallagher;Centrocampista;8;1500000;3;1;2;2.67
Real Sociedad;Aihen;Defensa;8;1270000;3;1;2;2.67
Real Oviedo;Luengo;Defensa;8;1230000;2;1;1;4.00
Mallorca;Antonio Sánchez;Centrocampista;8;820000;3;2;1;2.67
Celta;Yoel Lago;Defensa;8;580000;2;2;0;4.00
Betis;Ricardo Rodríguez;Defensa;8;530000;3;1;2;2.67
Valencia;Jesús Vázquez;Defensa;8;430000;3;2;1;2.67
Athletic;Vesga;Centrocampista;8;410000;3;2;1;2.67
Real Oviedo;Ejaria;Delantero;8;220000;2;2;0;4.00
Barcelona;Rashford;Delantero;7;7650000;3;0;3;2.33
Barcelona;Dani Olmo;Centrocampista;7;7610000;3;0;3;2.33
Athletic;Iñaki Williams;Delantero;7;7320000;3;2;1;2.33
Real Madrid;Mastantuono;Delantero;7;7210000;3;2;1;2.33
Barcelona;Koundé;Defensa;7;6730000;3;0;3;2.33
Atlético;Oblak;Portero;7;5040000;3;1;2;2.33
Villarreal;Moleiro;Centrocampista;7;5020000;3;2;1;2.33
Atlético;Marcos Llorente;Centrocampista;7;5000000;3;1;2;2.33
Villarreal;Parejo;Centrocampista;7;3430000;3;2;1;2.33
Real Madrid;Rodrygo;Delantero;7;3360000;2;1;1;3.50
Girona;Lemar;Centrocampista;7;3080000;3;2;1;2.33
Atlético;Ruggeri;Defensa;7;2700000;3;1;2;2.33
Getafe;Juan Iglesias;Defensa;7;2040000;3;0;3;2.33
Alavés;Guridi;Centrocampista;7;1720000;3;2;1;2.33
Alavés;Mariano;Delantero;7;1700000;3;2;1;2.33
Real Oviedo;Sibo;Centrocampista;7;1570000;3;2;1;2.33
Celta;Carreira;Defensa;7;1420000;2;1;1;3.50
Celta;Pablo Durán;Delantero;7;1150000;4;3;1;1.75
Elche;Chust;Defensa;7;1110000;2;1;1;3.50
Girona;Portu;Delantero;7;1100000;3;2;1;2.33
Rayo Vallecano;Óscar Valentín;Centrocampista;7;820000;2;1;1;3.50
Alavés;Guevara;Centrocampista;7;660000;3;2;1;2.33
Sevilla;Marcão;Defensa;7;360000;2;0;2;3.50
Real Sociedad;Guedes;Delantero;6;3820000;3;1;2;2.00
Villarreal;Gerard Moreno;Delantero;6;3400000;1;1;0;6.00
Real Madrid;Rüdiger;Defensa;6;3250000;1;0;1;6.00
Osasuna;Rubén García;Centrocampista;6;3170000;3;1;2;2.00
Betis;Álvaro Valles;Portero;6;3050000;2;1;1;3.00
Levante;Carlos Álvarez;Delantero;6;2460000;3;1;2;2.00
Betis;Firpo;Defensa;6;2420000;2;2;0;3.00
Sevilla;Gabriel Suazo;Defensa;6;2380000;1;0;1;6.00
Real Sociedad;Caleta-Car;Defensa;6;1910000;2;0;2;3.00
Celta;Fran Beltrán;Centrocampista;6;1840000;2;1;1;3.00
Levante;Elgezabal;Defensa;6;1770000;3;1;2;2.00
Atlético;Lenglet;Defensa;6;1270000;1;0;1;6.00
Girona;Krapyvtsov;Portero;6;820000;2;1;1;3.00
Atlético;Koke;Centrocampista;6;710000;2;0;2;3.00
Mallorca;Mascarell;Centrocampista;6;610000;2;2;0;3.00
Levante;Víctor García;Defensa;6;600000;3;1;2;2.00
Betis;Chimy Ávila;Delantero;6;520000;3;1;2;2.00
Elche;El Ghezouani;Delantero;6;480000;2;2;0;3.00
Alavés;Victor Parada;Defensa;6;340000;3;2;1;2.00
Rayo Vallecano;Nteka;Delantero;6;310000;2;0;2;3.00
Celta;Carlos Dominguez;Defensa;6;230000;2;1;1;3.00
Barcelona;Cubarsi;Defensa;5;6790000;2;0;2;2.50
Celta;Jutglà;Delantero;5;3920000;3;2;1;1.67
Real Madrid;Gonzalo García;Delantero;5;3240000;3;2;1;1.67
Mallorca;Dani Rodríguez;Centrocampista;5;2510000;2;2;0;2.50
Real Oviedo;Luka Ilic;Centrocampista;5;2250000;3;2;1;1.67
Real Oviedo;Cazorla;Centrocampista;5;2200000;3;2;1;1.67
Real Oviedo;Rondón;Delantero;5;2050000;3;2;1;1.67
Mallorca;Mateo Joseph;Delantero;5;1740000;3;2;1;1.67
Mallorca;Kumbulla;Defensa;5;1730000;2;1;1;2.50
Mallorca;Samú Costa;Centrocampista;5;1700000;1;0;1;5.00
Real Madrid;Ceballos;Centrocampista;5;1650000;3;2;1;1.67
Girona;Iván Martín;Centrocampista;5;1600000;2;1;1;2.50
Elche;André Silva;Delantero;5;1340000;2;1;1;2.50
Mallorca;Asano;Delantero;5;1200000;3;2;1;1.67
Betis;Valentín Gómez;Defensa;5;1060000;2;1;1;2.50
Espanyol;Urko Gonzalez;Defensa;5;990000;2;1;1;2.50
Rayo Vallecano;Pacha Espino;Defensa;5;930000;2;1;1;2.50
Rayo Vallecano;Camello;Delantero;5;920000;2;1;1;2.50
Valencia;Ramazani;Delantero;5;910000;1;1;0;5.00
Athletic;Beñat Prados;Centrocampista;5;860000;2;1;1;2.50
Elche;Pétrot;Defensa;5;650000;3;2;1;1.67
Athletic;Gorosabel;Defensa;5;500000;2;1;1;2.50
Alavés;Calebe;Centrocampista;5;440000;2;1;1;2.50
Elche;John Donald;Centrocampista;5;370000;2;1;1;2.50
Levante;Cabello;Defensa;5;340000;3;1;2;1.67
Osasuna;Raul García;Delantero;5;320000;3;1;2;1.67
Celta;Miguel Román;Centrocampista;5;280000;1;1;0;5.00
Espanyol;Salinas;Defensa;5;280000;2;1;1;2.50
Alavés;Abde Rebbach;Delantero;5;250000;2;1;1;2.50
Mallorca;Muriqi;Delantero;4;5640000;2;1;1;2.00
Atlético;Griezmann;Delantero;4;5050000;3;1;2;1.33
Atlético;Raspadori;Centrocampista;4;4980000;3;1;2;1.33
Villarreal;Renato Veiga;Defensa;4;3330000;2;1;1;2.00
Girona;Yangel Herrera;Centrocampista;4;3060000;2;1;1;2.00
Sevilla;Akor Adams;Delantero;4;2420000;2;1;1;2.00
Girona;Álex Moreno;Defensa;4;2310000;2;1;1;2.00
Girona;Blind;Defensa;4;2150000;3;2;1;1.33
Athletic;Guruzeta;Delantero;4;1950000;2;2;0;2.00
Levante;Brugué;Delantero;4;1480000;3;1;2;1.33
Elche;Redondo;Centrocampista;4;1390000;2;1;1;2.00
Celta;Swedberg;Centrocampista;4;1370000;4;3;1;1.00
Valencia;Filip Ugrinic;Centrocampista;4;1360000;2;1;1;2.00
Getafe;Coba Gomes;Delantero;4;770000;1;0;1;4.00
Getafe;Bekhoucha;Defensa;4;750000;2;0;2;2.00
Getafe;Domingos Duarte;Defensa;4;530000;2;0;2;2.00
Levante;Pampín;Defensa;4;490000;2;1;1;2.00
Athletic;Unai Gómez;Centrocampista;4;360000;2;1;1;2.00
Sevilla;Peque;Delantero;4;280000;2;1;1;2.00
Mallorca;Jan Salas;Centrocampista;4;240000;2;2;0;2.00
Betis;Angel Ortiz;Defensa;4;200000;1;1;0;4.00
Celta;Ristic;Defensa;4;180000;2;2;0;2.00
Atlético;Baena;Centrocampista;3;9910000;1;0;1;3.00
Real Oviedo;Brekalo;Delantero;3;3640000;2;2;0;1.50
Girona;Hugo Rincón;Defensa;3;1550000;3;2;1;1.00
Girona;Arnau Martínez;Defensa;3;1530000;2;2;0;1.50
Levante;Olasagasti;Centrocampista;3;1440000;1;0;1;3.00
Valencia;André Almeida;Centrocampista;3;1410000;1;1;0;3.00
Girona;Witsel;Defensa;3;1040000;1;1;0;3.00
Barcelona;Gerard Martín;Defensa;3;760000;1;0;1;3.00
Villarreal;Akhomach;Delantero;3;610000;2;1;1;1.50
Sevilla;Pedrosa;Defensa;3;550000;1;1;0;3.00
Girona;Jhon Solís;Centrocampista;3;470000;3;2;1;1.00
Levante;Losada;Delantero;3;340000;2;1;1;1.50
Real Sociedad;Elustondo;Defensa;3;320000;1;0;1;3.00
Atlético;Molina;Defensa;3;260000;1;1;0;3.00
Getafe;Alex Sola;Centrocampista;3;220000;1;0;1;3.00
Osasuna;Herrando;Defensa;3;210000;1;1;0;3.00
Celta;El-Abdellaoui;Delantero;3;210000;1;1;0;3.00
Elche;Jairo;Centrocampista;3;180000;1;1;0;3.00
Sevilla;Januzaj;Centrocampista;3;160000;1;0;1;3.00
Sevilla;Manu Bueno;Centrocampista;3;150000;1;0;1;3.00
Mallorca;Marc Domenech;Delantero;3;150000;1;1;0;3.00
Levante;Espí;Delantero;3;150000;2;1;1;1.50
Getafe;Mayoral;Delantero;2;2900000;1;0;1;2.00
Betis;Deossa;Centrocampista;2;2670000;1;1;0;2.00
Girona;Stuani;Delantero;2;2090000;1;1;0;2.00
Real Sociedad;Luka Sucic;Centrocampista;2;1740000;2;1;1;1.00
Levante;Ryan;Portero;2;1670000;1;0;1;2.00
Real Sociedad;Jon Martín;Defensa;2;1450000;1;1;0;2.00
Sevilla;Sow;Centrocampista;2;1420000;1;0;1;2.00
Espanyol;Jofre Carreras;Centrocampista;2;1100000;1;1;0;2.00
Espanyol;Koleosho;Delantero;2;990000;1;1;0;2.00
Alavés;Denis Suárez;Centrocampista;2;800000;1;1;0;2.00
Villarreal;Pedraza;Defensa;2;620000;1;1;0;2.00
Atlético;Galán;Defensa;2;510000;1;1;0;2.00
Espanyol;Antoniu Roca;Delantero;2;250000;1;0;1;2.00
Levante;Matías Moreno;Defensa;2;230000;1;0;1;2.00
Girona;Dawda Camara;Delantero;2;230000;2;1;1;1.00
Elche;Ali Houary;Centrocampista;2;200000;1;1;0;2.00
Rayo Vallecano;Trejo;Centrocampista;2;160000;1;0;1;2.00
Rayo Vallecano;Pelayo;Defensa;2;160000;1;0;1;2.00
Levante;Sergio Lozano;Centrocampista;2;160000;1;0;1;2.00
Mallorca;Lato;Defensa;2;150000;2;1;1;1.00
Osasuna;Kike Barja;Centrocampista;2;150000;1;0;1;2.00
Mallorca;Abdón Prats;Delantero;2;150000;1;1;0;2.00
Osasuna;Iker Benito;Centrocampista;2;150000;1;0;1;2.00
Real Sociedad;Jon Karrikaburu;Delantero;2;150000;1;0;1;2.00
Barcelona;Lewandowski;Delantero;1;12970000;2;0;2;0.50
Villarreal;Oluwaseyi;Delantero;1;3720000;1;0;1;1.00
Barcelona;Marc Casadó;Centrocampista;1;1450000;1;0;1;1.00
Alavés;Yusi Enríquez;Defensa;1;390000;1;1;0;1.00
Mallorca;Jan Virgili;Delantero;1;320000;1;0;1;1.00
Alavés;Benavidez;Centrocampista;1;160000;1;1;0;1.00
Villarreal;Ayoze;Delantero;0;9750000;0;0;0;0.00
Betis;Isco;Centrocampista;0;8430000;0;0;0;0.00
Real Madrid;Bellingham;Centrocampista;0;7900000;0;0;0;0.00
Barcelona;Fermín;Centrocampista;0;3150000;2;0;2;0.00
Girona;Ounahi;Centrocampista;0;2950000;0;0;0;0.00
Real Madrid;Camavinga;Centrocampista;0;2720000;0;0;0;0.00
Real Oviedo;David Carmo;Defensa;0;2630000;0;0;0;0.00
Sevilla;Odysseas;Portero;0;2180000;0;0;0;0.00
Betis;Diego Llorente;Defensa;0;1780000;0;0;0;0.00
Betis;Ez Abde;Delantero;0;1710000;0;0;0;0.00
Real Oviedo;Colombatto;Centrocampista;0;1660000;0;0;0;0.00
Celta;Starfelt;Defensa;0;1620000;0;0;0;0.00
Elche;Iñaki Peña;Portero;0;1590000;0;0;0;0.00
Real Sociedad;Sadiq;Delantero;0;1540000;0;0;0;0.00
Villarreal;Arnau Tenas;Portero;0;1530000;0;0;0;0.00
Espanyol;Riedel;Defensa;0;1490000;0;0;0;0.00
Barcelona;Marc Bernal;Centrocampista;0;1410000;0;0;0;0.00
Getafe;Kiko Femenía;Defensa;0;1400000;0;0;0;0.00
Levante;Koyalipou;Delantero;0;1390000;0;0;0;0.00
Atlético;Pubill;Defensa;0;1320000;0;0;0;0.00
Getafe;Abqar;Defensa;0;1250000;0;0;0;0.00
Getafe;Neyou;Centrocampista;0;1220000;0;0;0;0.00
Real Oviedo;Eric Bailly;Defensa;0;1190000;0;0;0;0.00
Real Madrid;Fran García;Defensa;0;1190000;0;0;0;0.00
Espanyol;Pickel;Centrocampista;0;1170000;0;0;0;0.00
Real Madrid;Raúl Asencio;Defensa;0;1130000;0;0;0;0.00
Getafe;Javi Muñoz;Centrocampista;0;1080000;0;0;0;0.00
Osasuna;Bretones;Defensa;0;1030000;1;0;1;0.00
Mallorca;Maffeo;Defensa;0;990000;0;0;0;0.00
Elche;Josan;Centrocampista;0;940000;0;0;0;0.00
Barcelona;Bardghji;Delantero;0;850000;0;0;0;0.00
Alavés;Boyé;Delantero;0;840000;0;0;0;0.00
Rayo Vallecano;Balliu;Defensa;0;840000;0;0;0;0.00
Barcelona;Szczęsny;Portero;0;750000;0;0;0;0.00
Atlético;Giménez;Defensa;0;740000;0;0;0;0.00
Barcelona;Oriol Romeu;Centrocampista;0;720000;0;0;0;0.00
Elche;Diangana;Delantero;0;620000;0;0;0;0.00
Villarreal;Diego Conde;Portero;0;610000;0;0;0;0.00
Villarreal;Pau Navarro;Defensa;0;590000;0;0;0;0.00
Betis;Marc Roca;Centrocampista;0;560000;0;0;0;0.00
Real Oviedo;Moldovan;Portero;0;550000;0;0;0;0.00
Real Madrid;Endrick;Delantero;0;540000;0;0;0;0.00
Real Madrid;David Alaba;Defensa;0;510000;0;0;0;0.00
Mallorca;Larin;Delantero;0;500000;0;0;0;0.00
Athletic;Yeray;Defensa;0;470000;0;0;0;0.00
Real Sociedad;Traoré;Defensa;0;440000;0;0;0;0.00
Sevilla;Azpilicueta;Defensa;0;420000;0;0;0;0.00
