Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media;;Equipo;Jugador;Posición;Puntos;Precio;;;
Córdoba;Carracedo;Delantero;5;6.450.000;2;1;1;2.50;;Córdoba;Carracedo;Delantero;5;6.450.000;;;
CD Castellon;Álex Calatrava;Delantero;7;6.440.000;2;1;1;3.50;;CD Castellon;Álex Calatrava;Delantero;7;6.440.000;;;
Deportivo;José Gragera;Centrocampista;10;6.430.000;2;1;1;5.00;;Deportivo;José Gragera;Centrocampista;10;6.430.000;;;
CD Castellon;Israel Suero;Centrocampista;11;6.370.000;2;1;1;5.50;;CD Castellon;Israel Suero;Centrocampista;11;6.370.000;;;
Leganés;De La Fuente;Delantero;13;6.200.000;2;1;1;6.50;;Leganés;De La Fuente;Delantero;13;6.200.000;;;
Albacete;Jon Morcillo;Delantero;21;6.110.000;2;1;1;10.50;;Albacete;Jon Morcillo;Delantero;21;6.110.000;;;
Burgos CF;Curro;Delantero;17;6.090.000;2;1;1;8.50;;Burgos CF;Curro;Delantero;17;6.090.000;;;
Almería;Léo Baptistão;Delantero;18;5.960.000;2;1;1;9.00;;Almería;Léo Baptistão;Delantero;18;5.960.000;;;
Sporting;Juan Otero;Delantero;14;5.890.000;2;1;1;7.00;;Sporting;Juan Otero;Delantero;14;5.890.000;;;
Málaga;Adrián Niño;Delantero;10;5.880.000;2;2;0;5.00;;Málaga;Adrián Niño;Delantero;10;5.880.000;;;
Almería;Embarba;Delantero;14;5.820.000;2;1;1;7.00;;Almería;Embarba;Delantero;14;5.820.000;;;
Huesca;Óscar Sielva;Centrocampista;12;5.740.000;2;1;1;6.00;;Huesca;Óscar Sielva;Centrocampista;12;5.740.000;;;
Racing;Jokin Ezkieta;Portero;10;5.670.000;2;1;1;5.00;;Racing;Jokin Ezkieta;Portero;10;5.670.000;;;
Deportivo;Luismi Cruz;Delantero;7;5.580.000;2;1;1;3.50;;Deportivo;Luismi Cruz;Delantero;7;5.580.000;;;
Burgos CF;Fer Niño;Delantero;16;5.470.000;2;1;1;8.00;;Burgos CF;Fer Niño;Delantero;16;5.470.000;;;
Real Valladolid;Juanmi Latasa;Delantero;17;5.460.000;2;1;1;8.50;;Real Valladolid;Juanmi Latasa;Delantero;17;5.460.000;;;
Málaga;Alfonso Herrero;Portero;10;5.330.000;2;2;0;5.00;;Málaga;Alfonso Herrero;Portero;10;5.330.000;;;
Las Palmas;Milos Lukovic;Delantero;14;5.230.000;1;0;1;14.00;;Las Palmas;Milos Lukovic;Delantero;14;5.230.000;;;
Sporting;Àlex Corredera;Centrocampista;8;5.210.000;2;1;1;4.00;;Sporting;Àlex Corredera;Centrocampista;8;5.210.000;;;
Real Valladolid;Amath;Delantero;19;5.200.000;2;1;1;9.50;;Real Valladolid;Amath;Delantero;19;5.200.000;;;
Almería;Nico Melamed;Centrocampista;6;5.090.000;2;1;1;3.00;;Almería;Nico Melamed;Centrocampista;6;5.090.000;;;
Sporting;Rúben Yáñez;Portero;14;4.980.000;2;1;1;7.00;;Sporting;Rúben Yáñez;Portero;14;4.980.000;;;
Real Valladolid;Pablo Tomeo;Defensa;17;4.910.000;2;1;1;8.50;;Real Valladolid;Pablo Tomeo;Defensa;17;4.910.000;;;
Huesca;Iker Kortajarena;Centrocampista;13;4.860.000;2;1;1;6.50;;Huesca;Iker Kortajarena;Centrocampista;13;4.860.000;;;
Racing;Javier Castro;Defensa;10;4.810.000;2;1;1;5.00;;Racing;Javier Castro;Defensa;10;4.810.000;;;
Albacete;Agus Medina;Centrocampista;29;4.770.000;2;1;1;14.50;;Albacete;Agus Medina;Centrocampista;29;4.770.000;;;
Almería;Dion Lopy;Centrocampista;12;4.660.000;2;1;1;6.00;;Almería;Dion Lopy;Centrocampista;12;4.660.000;;;
Real Valladolid;Chuki;Centrocampista;21;4.650.000;2;1;1;10.50;;Real Valladolid;Chuki;Centrocampista;21;4.650.000;;;
Deportivo;Loureiro;Defensa;10;4.620.000;2;1;1;5.00;;Deportivo;Loureiro;Defensa;10;4.620.000;;;
Deportivo;David Mella;Delantero;7;4.590.000;2;1;1;3.50;;Deportivo;David Mella;Delantero;7;4.590.000;;;
Albacete;Antonio Puertas;Centrocampista;17;4.560.000;2;1;1;8.50;;Albacete;Antonio Puertas;Centrocampista;17;4.560.000;;;
Eibar;José Corpas;Defensa;12;4.460.000;2;1;1;6.00;;Eibar;José Corpas;Defensa;12;4.460.000;;;
Mirandes;Igor Nikic;Portero;5;4.390.000;1;1;0;5.00;;Mirandes;Igor Nikic;Portero;5;4.390.000;;;
Sporting;Guille Rosas;Defensa;9;4.370.000;2;1;1;4.50;;Sporting;Guille Rosas;Defensa;9;4.370.000;;;
Deportivo;Eddahchouri;Delantero;14;4.220.000;2;1;1;7.00;;Deportivo;Eddahchouri;Delantero;14;4.220.000;;;
Real Valladolid;Stipe Biuk;Delantero;18;4.210.000;2;1;1;9.00;;Real Valladolid;Stipe Biuk;Delantero;18;4.210.000;;;
Leganés;Diego Garcia;Delantero;8;4.210.000;2;1;1;4.00;;Leganés;Diego Garcia;Delantero;8;4.210.000;;;
Las Palmas;Sandro Ramírez;Delantero;0;4.210.000;0;0;0;0.00;;Las Palmas;Sandro Ramírez;Delantero;0;4.210.000;;;
Deportivo;Mulattieri;Delantero;0;4.200.000;0;0;0;0.00;;Deportivo;Mulattieri;Delantero;0;4.200.000;;;
Huesca;Jorge Pulido;Defensa;11;4.170.000;2;1;1;5.50;;Huesca;Jorge Pulido;Defensa;11;4.170.000;;;
Real Valladolid;Iván Alejo;Centrocampista;14;4.030.000;2;1;1;7.00;;Real Valladolid;Iván Alejo;Centrocampista;14;4.030.000;;;
Las Palmas;Mika Mármol;Defensa;9;4.000.000;2;1;1;4.50;;Las Palmas;Mika Mármol;Defensa;9;4.000.000;;;
Real Valladolid;Stanko Juric;Centrocampista;12;3.950.000;2;1;1;6.00;;Real Valladolid;Stanko Juric;Centrocampista;12;3.950.000;;;
Granada;Stoichkov;Delantero;3;3.940.000;2;1;1;1.50;;Granada;Stoichkov;Delantero;3;3.940.000;;;
Zaragoza;Paulino;Centrocampista;8;3.930.000;1;0;1;8.00;;Zaragoza;Paulino;Centrocampista;8;3.930.000;;;
Las Palmas;Enzo Loiodice;Centrocampista;5;3.920.000;2;1;1;2.50;;Las Palmas;Enzo Loiodice;Centrocampista;5;3.920.000;;;
Zaragoza;Francho Serrano;Centrocampista;7;3.890.000;2;1;1;3.50;;Zaragoza;Francho Serrano;Centrocampista;7;3.890.000;;;
Córdoba;Carlos Marín;Portero;9;3.770.000;2;1;1;4.50;;Córdoba;Carlos Marín;Portero;9;3.770.000;;;
Racing;Aritz Aldasoro;Centrocampista;6;3.770.000;2;1;1;3.00;;Racing;Aritz Aldasoro;Centrocampista;6;3.770.000;;;
Deportivo;Daniel Bachmann;Portero;0;3.750.000;0;0;0;0.00;;Deportivo;Daniel Bachmann;Portero;0;3.750.000;;;
Córdoba;Sergi Guardiola;Delantero;7;3.690.000;2;1;1;3.50;;Córdoba;Sergi Guardiola;Delantero;7;3.690.000;;;
Eibar;Javier Martón;Delantero;22;3.680.000;2;1;1;11.00;;Eibar;Javier Martón;Delantero;22;3.680.000;;;
Leganés;Seydouba Cisse;Centrocampista;8;3.590.000;2;1;1;4.00;;Leganés;Seydouba Cisse;Centrocampista;8;3.590.000;;;
Zaragoza;Mario Soberón;Delantero;6;3.590.000;2;1;1;3.00;;Zaragoza;Mario Soberón;Delantero;6;3.590.000;;;
Leganés;Juan Soriano;Portero;10;3.570.000;2;1;1;5.00;;Leganés;Juan Soriano;Portero;10;3.570.000;;;
Eibar;Jon Bautista;Delantero;0;3.500.000;0;0;0;0.00;;Eibar;Jon Bautista;Delantero;0;3.500.000;;;
Sporting;Lucas Perrin;Defensa;13;3.490.000;2;1;1;6.50;;Sporting;Lucas Perrin;Defensa;13;3.490.000;;;
Albacete;Jesús Vallejo;Defensa;2;3.480.000;1;0;1;2.00;;Albacete;Jesús Vallejo;Defensa;2;3.480.000;;;
Granada;Hongla;Centrocampista;13;3.440.000;2;1;1;6.50;;Granada;Hongla;Centrocampista;13;3.440.000;;;
Eibar;Jonmi Magunagoitia;Portero;10;3.420.000;2;1;1;5.00;;Eibar;Jonmi Magunagoitia;Portero;10;3.420.000;;;
Las Palmas;Kirian Rodríguez;Centrocampista;0;3.420.000;0;0;0;0.00;;Las Palmas;Kirian Rodríguez;Centrocampista;0;3.420.000;;;
Córdoba;Isma Ruiz;Centrocampista;11;3.400.000;2;1;1;5.50;;Córdoba;Isma Ruiz;Centrocampista;11;3.400.000;;;
Cádiz;Youssouf Diarra;Centrocampista;5;3.400.000;2;1;1;2.50;;Cádiz;Youssouf Diarra;Centrocampista;5;3.400.000;;;
Deportivo;Diego Villares;Centrocampista;10;3.380.000;2;1;1;5.00;;Deportivo;Diego Villares;Centrocampista;10;3.380.000;;;
Leganés;Juan Cruz;Delantero;0;3.380.000;0;0;0;0.00;;Leganés;Juan Cruz;Delantero;0;3.380.000;;;
Eibar;Aleix Garrido;Centrocampista;17;3.370.000;2;1;1;8.50;;Eibar;Aleix Garrido;Centrocampista;17;3.370.000;;;
Cádiz;Iza Carcelen;Defensa;11;3.360.000;2;1;1;5.50;;Cádiz;Iza Carcelen;Defensa;11;3.360.000;;;
Burgos CF;Ander Cantero;Portero;10;3.360.000;2;1;1;5.00;;Burgos CF;Ander Cantero;Portero;10;3.360.000;;;
Burgos CF;Aitor Córdoba;Defensa;10;3.350.000;2;1;1;5.00;;Burgos CF;Aitor Córdoba;Defensa;10;3.350.000;;;
Almería;André Horta;Centrocampista;3;3.350.000;1;1;0;3.00;;Almería;André Horta;Centrocampista;3;3.350.000;;;
Burgos CF;Anderson Arroyo;Defensa;10;3.320.000;2;1;1;5.00;;Burgos CF;Anderson Arroyo;Defensa;10;3.320.000;;;
Burgos CF;Miguel Atienza;Centrocampista;12;3.300.000;2;1;1;6.00;;Burgos CF;Miguel Atienza;Centrocampista;12;3.300.000;;;
Sporting;Pablo Vázquez;Defensa;13;3.290.000;2;1;1;6.50;;Sporting;Pablo Vázquez;Defensa;13;3.290.000;;;
Leganés;Jorge Sáenz;Defensa;7;3.280.000;2;1;1;3.50;;Leganés;Jorge Sáenz;Defensa;7;3.280.000;;;
Leganés;Melero;Centrocampista;4;3.270.000;2;1;1;2.00;;Leganés;Melero;Centrocampista;4;3.270.000;;;
Eibar;Anaitz Arbilla;Defensa;22;3.250.000;2;1;1;11.00;;Eibar;Anaitz Arbilla;Defensa;22;3.250.000;;;
Zaragoza;Guti;Centrocampista;7;3.220.000;2;1;1;3.50;;Zaragoza;Guti;Centrocampista;7;3.220.000;;;
Racing;Manu Hernando;Defensa;14;3.210.000;2;1;1;7.00;;Racing;Manu Hernando;Defensa;14;3.210.000;;;
Almería;Andrés Fernández;Portero;10;3.170.000;2;1;1;5.00;;Almería;Andrés Fernández;Portero;10;3.170.000;;;
CD Castellon;Awer Mabil;Delantero;6;3.170.000;2;1;1;3.00;;CD Castellon;Awer Mabil;Delantero;6;3.170.000;;;
Cultural Leonesa;Édgar Badía;Portero;4;3.160.000;2;1;1;2.00;;Cultural Leonesa;Édgar Badía;Portero;4;3.160.000;;;
CD Castellon;Jérémy Mellot;Defensa;8;3.130.000;2;1;1;4.00;;CD Castellon;Jérémy Mellot;Defensa;8;3.130.000;;;
Albacete;Riki Rodríguez;Centrocampista;8;3.110.000;1;1;0;8.00;;Albacete;Riki Rodríguez;Centrocampista;8;3.110.000;;;
Huesca;Dani Jiménez;Portero;13;3.100.000;2;1;1;6.50;;Huesca;Dani Jiménez;Portero;13;3.100.000;;;
Real Valladolid;Guille Bueno;Defensa;13;3.090.000;2;1;1;6.50;;Real Valladolid;Guille Bueno;Defensa;13;3.090.000;;;
Las Palmas;Amatucci;Centrocampista;10;3.080.000;2;1;1;5.00;;Las Palmas;Amatucci;Centrocampista;10;3.080.000;;;
Córdoba;Ignasi Vilarrasa;Centrocampista;6;3.080.000;2;1;1;3.00;;Córdoba;Ignasi Vilarrasa;Centrocampista;6;3.080.000;;;
Cádiz;Moussa Diakité;Centrocampista;9;3.050.000;2;1;1;4.50;;Cádiz;Moussa Diakité;Centrocampista;9;3.050.000;;;
Leganés;Rubén Peña;Defensa;9;3.030.000;2;1;1;4.50;;Leganés;Rubén Peña;Defensa;9;3.030.000;;;
Las Palmas;Jeremía Recoba;Delantero;9;3.030.000;2;1;1;4.50;;Las Palmas;Jeremía Recoba;Delantero;9;3.030.000;;;
Cádiz;Mario Climent;Defensa;5;3.010.000;2;1;1;2.50;;Cádiz;Mario Climent;Defensa;5;3.010.000;;;
Zaragoza;Sebas Moyano;Centrocampista;5;2.990.000;2;1;1;2.50;;Zaragoza;Sebas Moyano;Centrocampista;5;2.990.000;;;
Cádiz;Bojan Kovacevic;Defensa;9;2.980.000;2;1;1;4.50;;Cádiz;Bojan Kovacevic;Defensa;9;2.980.000;;;
Mirandes;Álex Suárez;Centrocampista;3;2.960.000;1;1;0;3.00;;Mirandes;Álex Suárez;Centrocampista;3;2.960.000;;;
Real Valladolid;Julien Ponceau;Centrocampista;0;2.960.000;0;0;0;0.00;;Real Valladolid;Julien Ponceau;Centrocampista;0;2.960.000;;;
Sporting;Gaspar Campos;Delantero;7;2.930.000;2;1;1;3.50;;Sporting;Gaspar Campos;Delantero;7;2.930.000;;;
Málaga;Chupete;Delantero;4;2.930.000;2;2;0;2.00;;;;;;;;;
Racing;Arana;Delantero;0;2.930.000;0;0;0;0.00;;;;;;;;;
Leganés;Roberto López;Centrocampista;3;2.910.000;1;0;1;3.00;;;;;;;;;
CD Castellon;Alberto Jiménez;Defensa;-5;2.890.000;1;0;1;-5.00;;;;;;;;;
CD Castellon;Ousmane Camara;Delantero;11;2.880.000;2;1;1;5.50;;;;;;;;;
Cádiz;García Pascual;Delantero;11;2.880.000;2;1;1;5.50;;;;;;;;;
Ceuta;Anuar;Centrocampista;7;2.840.000;2;1;1;3.50;;;;;;;;;
Real Valladolid;David Torres;Defensa;13;2.820.000;2;1;1;6.50;;;;;;;;;
Racing;Plamen Andreev;Portero;0;2.820.000;0;0;0;0.00;;;;;;;;;
Sporting;Ignacio Martín;Centrocampista;8;2.810.000;2;1;1;4.00;;;;;;;;;
Cultural Leonesa;Paraschiv;Delantero;5;2.810.000;2;1;1;2.50;;;;;;;;;
Burgos CF;Gregorio Sierra;Defensa;12;2.800.000;2;1;1;6.00;;;;;;;;;
Almería;Arnau Puigmal;Centrocampista;7;2.780.000;2;1;1;3.50;;;;;;;;;
Almería;Federico Bonini;Defensa;6;2.760.000;1;0;1;6.00;;;;;;;;;
Zaragoza;Aketxe;Delantero;4;2.760.000;1;0;1;4.00;;;;;;;;;
Racing;Sangalli;Centrocampista;5;2.750.000;2;1;1;2.50;;;;;;;;;
Las Palmas;Dinko Horkas;Portero;8;2.740.000;2;1;1;4.00;;;;;;;;;
Granada;Sergio Ruiz;Centrocampista;9;2.730.000;2;1;1;4.50;;;;;;;;;
Racing;Yeray Cabanzón;Centrocampista;9;2.730.000;2;1;1;4.50;;;;;;;;;
Las Palmas;Ale García;Delantero;22;2.700.000;2;1;1;11.00;;;;;;;;;
Real Valladolid;Víctor Meseguer;Centrocampista;9;2.700.000;2;1;1;4.50;;;;;;;;;
FC Andorra;Lautaro de León;Delantero;14;2.690.000;2;0;2;7.00;;;;;;;;;
Leganés;Duk;Delantero;13;2.690.000;2;1;1;6.50;;;;;;;;;
Albacete;Diego Mariño;Portero;8;2.690.000;2;1;1;4.00;;;;;;;;;
Leganés;Amadou Diawara;Centrocampista;6;2.690.000;2;1;1;3.00;;;;;;;;;
Mirandes;Juan Gutiérrez;Defensa;7;2.680.000;2;1;1;3.50;;;;;;;;;
Leganés;Óscar Plano;Centrocampista;3;2.670.000;2;1;1;1.50;;;;;;;;;
Burgos CF;Florian Miguel;Defensa;11;2.660.000;2;1;1;5.50;;;;;;;;;
Granada;Manu Trigueros;Centrocampista;5;2.660.000;2;1;1;2.50;;;;;;;;;
Málaga;Carlos Dotor;Centrocampista;5;2.650.000;2;2;0;2.50;;;;;;;;;
Cádiz;Sergio Ortuño;Centrocampista;1;2.640.000;1;0;1;1.00;;;;;;;;;
Málaga;Francisco Montero;Defensa;8;2.630.000;2;2;0;4.00;;;;;;;;;
Granada;José Arnaiz;Delantero;1;2.620.000;1;0;1;1.00;;;;;;;;;
Almería;Álex Muñoz;Defensa;6;2.600.000;2;1;1;3.00;;;;;;;;;
Eibar;Lander Olaetxea;Centrocampista;0;2.590.000;0;0;0;0.00;;;;;;;;;
Deportivo;Sergio Escudero;Defensa;16;2.570.000;2;1;1;8.00;;;;;;;;;
Granada;Luca Zidane;Portero;3;2.570.000;2;1;1;1.50;;;;;;;;;
Eibar;Peru Nolaskoain;Centrocampista;7;2.550.000;2;1;1;3.50;;;;;;;;;
Almería;Daijiro Chirino;Defensa;1;2.550.000;1;1;0;1.00;;;;;;;;;
Deportivo;Ximo Navarro;Defensa;7;2.520.000;2;1;1;3.50;;;;;;;;;
CD Castellon;Gerenabarrena;Centrocampista;9;2.510.000;2;1;1;4.50;;;;;;;;;
Las Palmas;Viti;Centrocampista;0;2.490.000;0;0;0;0.00;;;;;;;;;
Sporting;Diego Sánchez;Defensa;9;2.480.000;2;1;1;4.50;;;;;;;;;
Burgos CF;Iván Morante;Centrocampista;12;2.460.000;2;1;1;6.00;;;;;;;;;
Cádiz;Álex Fernández;Centrocampista;2;2.420.000;1;1;0;2.00;;;;;;;;;
Racing;Peio Canales;Centrocampista;6;2.390.000;2;1;1;3.00;;;;;;;;;
Real Sociedad B;Aitor Fraga;Portero;13;2.360.000;2;1;1;6.50;;;;;;;;;
Málaga;Joaquín Muñoz;Delantero;8;2.350.000;2;2;0;4.00;;;;;;;;;
Zaragoza;Dani Tasende;Defensa;3;2.350.000;2;1;1;1.50;;;;;;;;;
Las Palmas;Jesé;Delantero;0;2.350.000;0;0;0;0.00;;;;;;;;;
Eibar;Sergio Cubero;Defensa;9;2.340.000;2;1;1;4.50;;;;;;;;;
Mirandes;Gonzalo Petit;Delantero;1;2.310.000;2;1;1;0.50;;;;;;;;;
Almería;Álex Centelles;Defensa;1;2.290.000;2;1;1;0.50;;;;;;;;;
Málaga;Izan Merino;Centrocampista;7;2.270.000;2;2;0;3.50;;;;;;;;;
Eibar;Jon Guruzeta;Delantero;10;2.260.000;2;1;1;5.00;;;;;;;;;
Zaragoza;Valery Fernández;Delantero;1;2.240.000;1;1;0;1.00;;;;;;;;;
Eibar;Sergio Álvarez;Centrocampista;8;2.230.000;2;1;1;4.00;;;;;;;;;
Burgos CF;Iñigo Córdoba;Delantero;8;2.230.000;2;1;1;4.00;;;;;;;;;
Burgos CF;David González;Centrocampista;12;2.200.000;2;1;1;6.00;;;;;;;;;
Racing;Michelin;Defensa;3;2.190.000;1;1;0;3.00;;;;;;;;;
Real Valladolid;Guilherme Fernandes;Portero;12;2.180.000;2;1;1;6.00;;;;;;;;;
Eibar;Leonardo Buta;Defensa;9;2.130.000;2;1;1;4.50;;;;;;;;;
Córdoba;Rubén González;Defensa;5;2.130.000;1;0;1;5.00;;;;;;;;;
Sporting;Mamadou Loum;Centrocampista;0;2.130.000;0;0;0;0.00;;;;;;;;;
Almería;Chumi;Defensa;3;2.120.000;2;1;1;1.50;;;;;;;;;
Burgos CF;Ivan Chapela;Delantero;11;2.110.000;2;1;1;5.50;;;;;;;;;
Leganés;Enric Franquesa;Defensa;0;2.100.000;0;0;0;0.00;;;;;;;;;
Huesca;Sergi Enrich;Delantero;13;2.080.000;2;1;1;6.50;;;;;;;;;
Albacete;Fran Gámez;Defensa;12;2.070.000;2;1;1;6.00;;;;;;;;;
Córdoba;Pedro Ortiz;Centrocampista;1;2.070.000;1;0;1;1.00;;;;;;;;;
Las Palmas;Alex Suárez;Defensa;2;2.050.000;1;0;1;2.00;;;;;;;;;
Las Palmas;Sergio Barcia;Defensa;4;2.040.000;2;1;1;2.00;;;;;;;;;
Granada;Pablo Sáenz;Delantero;3;2.040.000;2;1;1;1.50;;;;;;;;;
Deportivo;Dani Barcia;Defensa;11;2.030.000;2;1;1;5.50;;;;;;;;;
Málaga;Álex Pastor;Defensa;16;2.020.000;2;2;0;8.00;;;;;;;;;
Córdoba;Théo Zidane;Centrocampista;1;2.020.000;1;1;0;1.00;;;;;;;;;
Málaga;Luismi;Centrocampista;3;2.000.000;1;1;0;3.00;;;;;;;;;
Deportivo;Quagliata;Defensa;2;2.000.000;1;1;0;2.00;;;;;;;;;
Las Palmas;Cristian Gutiérrez;Defensa;4;1.990.000;2;1;1;2.00;;;;;;;;;
Cádiz;Roger;Delantero;3;1.980.000;1;1;0;3.00;;;;;;;;;
Mirandes;Thiago Helguera;Centrocampista;3;1.980.000;1;1;0;3.00;;;;;;;;;
Cultural Leonesa;Thiago Ojeda;Centrocampista;8;1.970.000;2;1;1;4.00;;;;;;;;;
Mirandes;Adrián Pica;Defensa;6;1.970.000;2;1;1;3.00;;;;;;;;;
Granada;Jorge Pascual;Delantero;3;1.960.000;1;0;1;3.00;;;;;;;;;
Deportivo;Lucas Noubi;Defensa;0;1.960.000;0;0;0;0.00;;;;;;;;;
Racing;Mario García;Defensa;2;1.930.000;1;0;1;2.00;;;;;;;;;
Cádiz;Brian Ocampo;Delantero;12;1.900.000;2;1;1;6.00;;;;;;;;;
Racing;Jorge Salinas;Defensa;10;1.900.000;2;1;1;5.00;;;;;;;;;
Almería;Lucas Robertone;Centrocampista;0;1.870.000;0;0;0;0.00;;;;;;;;;
Zaragoza;Pomares;Defensa;-1;1.870.000;2;1;1;-0.50;;;;;;;;;
Real Valladolid;Selim Amallah;Centrocampista;0;1.860.000;0;0;0;0.00;;;;;;;;;
Leganés;Marvel;Defensa;7;1.830.000;2;1;1;3.50;;;;;;;;;
Las Palmas;Marvin Park;Delantero;6;1.830.000;2;1;1;3.00;;;;;;;;;
Racing;Maguette Gueye;Centrocampista;0;1.830.000;0;0;0;0.00;;;;;;;;;
Mirandes;Carlos Fernández;Delantero;4;1.820.000;1;1;0;4.00;;;;;;;;;
Burgos CF;Víctor Mollejo;Delantero;0;1.820.000;0;0;0;0.00;;;;;;;;;
Las Palmas;Juanma Herzog;Defensa;0;1.810.000;0;0;0;0.00;;;;;;;;;
FC Andorra;Imanol García;Defensa;10;1.800.000;2;0;2;5.00;;;;;;;;;
Córdoba;Kevin Villodres;Delantero;4;1.790.000;2;1;1;2.00;;;;;;;;;
FC Andorra;Sergio Molina;Centrocampista;10;1.780.000;2;0;2;5.00;;;;;;;;;
Real Valladolid;Javi Sánchez;Defensa;0;1.780.000;0;0;0;0.00;;;;;;;;;
Eibar;Jon Magunacelaya;Centrocampista;10;1.770.000;2;1;1;5.00;;;;;;;;;
Albacete;Jonathan Gómez;Defensa;3;1.770.000;2;1;1;1.50;;;;;;;;;
Córdoba;Albarrán;Defensa;1;1.770.000;2;1;1;0.50;;;;;;;;;
Real Valladolid;Marcos de Sousa;Delantero;2;1.730.000;1;1;0;2.00;;;;;;;;;
Zaragoza;Tachi;Defensa;0;1.730.000;0;0;0;0.00;;;;;;;;;
CD Castellon;Brignani;Defensa;2;1.710.000;1;0;1;2.00;;;;;;;;;
Granada;Loic Williams;Defensa;0;1.710.000;2;1;1;0.00;;;;;;;;;
Zaragoza;Samed Bazdar;Delantero;14;1.700.000;2;1;1;7.00;;;;;;;;;
Leganés;Gonzalo Aguilar;Defensa;8;1.690.000;2;1;1;4.00;;;;;;;;;
Ceuta;Yann Bodiger;Centrocampista;5;1.690.000;2;1;1;2.50;;;;;;;;;
Málaga;Carlos Puga;Defensa;9;1.670.000;2;2;0;4.50;;;;;;;;;
FC Andorra;Gael Alonso;Defensa;18;1.650.000;2;0;2;9.00;;;;;;;;;
Real Sociedad B;Luken Beitia;Defensa;12;1.640.000;2;1;1;6.00;;;;;;;;;
Málaga;Julen Lobete;Delantero;3;1.640.000;2;2;0;1.50;;;;;;;;;
CD Castellon;Romain Matthys;Portero;0;1.620.000;0;0;0;0.00;;;;;;;;;
Deportivo;Charlie Patiño;Centrocampista;10;1.610.000;2;1;1;5.00;;;;;;;;;
Almería;Nélson Monte;Defensa;0;1.590.000;0;0;0;0.00;;;;;;;;;
Deportivo;Arnau Comas;Defensa;6;1.580.000;2;1;1;3.00;;;;;;;;;
Eibar;Marco Moreno;Defensa;9;1.570.000;2;1;1;4.50;;;;;;;;;
FC Andorra;Jesús Owono;Portero;0;1.560.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Job Ochieng;Delantero;13;1.540.000;2;1;1;6.50;;;;;;;;;
CD Castellon;Amir Abedzadeh;Portero;11;1.530.000;2;1;1;5.50;;;;;;;;;
Cádiz;Alcaraz;Centrocampista;0;1.530.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Gorka Gorosabel;Centrocampista;10;1.520.000;2;1;1;5.00;;;;;;;;;
Cádiz;Iker Recio;Defensa;10;1.510.000;2;1;1;5.00;;;;;;;;;
Ceuta;Juanto Ortuño;Delantero;4;1.510.000;2;1;1;2.00;;;;;;;;;
Burgos CF;Mario González;Delantero;0;1.510.000;0;0;0;0.00;;;;;;;;;
Huesca;Sergio Arribas;Defensa;10;1.500.000;2;1;1;5.00;;;;;;;;;
Eibar;Álvaro Rodríguez;Defensa;18;1.480.000;2;1;1;9.00;;;;;;;;;
Córdoba;Carlos Isaac;Defensa;6;1.470.000;2;1;1;3.00;;;;;;;;;
