Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media
Real Valladolid;David Torres;Defensa;13;3010000;2;1;1;6.50
Leganés;Duk;Delantero;13;2960000;2;1;1;6.50
Almería;Federico Bonini;Defensa;13;2800000;2;0;2;6.50
Huesca;Sergi Enrich;Delantero;13;2340000;2;1;1;6.50
Real Sociedad B;Alberto Dadie;Delantero;13;1420000;3;2;1;4.33
Málaga;Rafa Rodríguez;Centrocampista;13;840000;2;2;0;6.50
Real Sociedad B;Gorka Carrera;Delantero;13;270000;3;2;1;4.33
Huesca;Óscar Sielva;Centrocampista;12;5810000;2;1;1;6.00
Eibar;José Corpas;Defensa;12;4550000;2;1;1;6.00
Real Valladolid;Stanko Juric;Centrocampista;12;3990000;2;1;1;6.00
Burgos CF;Miguel Atienza;Centrocampista;12;3330000;2;1;1;6.00
Almería;Andrés Fernández;Portero;12;3210000;3;1;2;4.00
Burgos CF;Iván Morante;Centrocampista;12;2950000;2;1;1;6.00
Burgos CF;Gregorio Sierra;Defensa;12;2760000;2;1;1;6.00
Real Valladolid;Guilherme Fernandes;Portero;12;2350000;2;1;1;6.00
Burgos CF;David González;Centrocampista;12;2270000;2;1;1;6.00
Albacete;Fran Gámez;Defensa;12;2240000;2;1;1;6.00
Cádiz;Brian Ocampo;Delantero;12;2140000;2;1;1;6.00
Real Sociedad B;Gorka Gorosabel;Centrocampista;12;1620000;3;2;1;4.00
FC Andorra;Áron Yaakobishvili;Portero;12;1580000;2;0;2;6.00
Albacete;Dani Escriche;Delantero;12;1180000;2;1;1;6.00
Málaga;David Larrubia;Centrocampista;11;7080000;2;2;0;5.50
Las Palmas;Manuel Fuster;Centrocampista;11;6740000;2;1;1;5.50
Córdoba;Jacobo González;Centrocampista;11;6460000;2;1;1;5.50
CD Castellon;Israel Suero;Centrocampista;11;6250000;2;1;1;5.50
Huesca;Jorge Pulido;Defensa;11;4130000;2;1;1;5.50
Córdoba;Isma Ruiz;Centrocampista;11;3440000;2;1;1;5.50
Cádiz;Iza Carcelen;Defensa;11;3350000;2;1;1;5.50
Cádiz;García Pascual;Delantero;11;3180000;2;1;1;5.50
CD Castellon;Ousmane Camara;Delantero;11;2890000;2;1;1;5.50
Almería;Arnau Puigmal;Centrocampista;11;2740000;3;1;2;3.67
Burgos CF;Florian Miguel;Defensa;11;2720000;2;1;1;5.50
Deportivo;Dani Barcia;Defensa;11;2210000;2;1;1;5.50
Burgos CF;Ivan Chapela;Delantero;11;2120000;2;1;1;5.50
Cultural Leonesa;Thiago Ojeda;Centrocampista;11;1950000;3;1;2;3.67
CD Castellon;Amir Abedzadeh;Portero;11;1620000;2;1;1;5.50
FC Andorra;Marc Doménech;Centrocampista;11;1510000;2;0;2;5.50
Ceuta;Carlos Hernández;Defensa;11;1300000;2;1;1;5.50
Cultural Leonesa;Diego Collado;Delantero;11;670000;3;1;2;3.67
Real Sociedad B;Astiazaran;Centrocampista;11;510000;3;2;1;3.67
Cádiz;Ontiveros;Centrocampista;10;10090000;2;1;1;5.00
Deportivo;José Gragera;Centrocampista;10;6340000;2;1;1;5.00
Málaga;Adrián Niño;Delantero;10;5820000;2;2;0;5.00
Racing;Jokin Ezkieta;Portero;10;5530000;2;1;1;5.00
Málaga;Alfonso Herrero;Portero;10;5400000;2;2;0;5.00
Racing;Javier Castro;Defensa;10;4740000;2;1;1;5.00
Deportivo;Loureiro;Defensa;10;4570000;2;1;1;5.00
Leganés;Juan Soriano;Portero;10;3610000;2;1;1;5.00
Deportivo;Diego Villares;Centrocampista;10;3440000;2;1;1;5.00
Eibar;Jonmi Magunagoitia;Portero;10;3410000;2;1;1;5.00
Burgos CF;Ander Cantero;Portero;10;3400000;2;1;1;5.00
Burgos CF;Anderson Arroyo;Defensa;10;3400000;2;1;1;5.00
Burgos CF;Aitor Córdoba;Defensa;10;3300000;2;1;1;5.00
Las Palmas;Amatucci;Centrocampista;10;3160000;2;1;1;5.00
Sporting;Gaspar Campos;Delantero;10;2830000;3;2;1;3.33
Eibar;Jon Guruzeta;Delantero;10;2330000;2;1;1;5.00
Racing;Jorge Salinas;Defensa;10;2100000;2;1;1;5.00
FC Andorra;Sergio Molina;Centrocampista;10;1900000;2;0;2;5.00
FC Andorra;Imanol García;Defensa;10;1890000;2;0;2;5.00
Eibar;Jon Magunacelaya;Centrocampista;10;1890000;2;1;1;5.00
Deportivo;Charlie Patiño;Centrocampista;10;1810000;2;1;1;5.00
Cádiz;Iker Recio;Defensa;10;1630000;2;1;1;5.00
FC Andorra;Villahermosa;Centrocampista;10;1600000;2;0;2;5.00
Huesca;Sergio Arribas;Defensa;10;1540000;2;1;1;5.00
Huesca;Piña;Defensa;10;1400000;2;1;1;5.00
Mirandes;Marino Illescas;Centrocampista;10;1390000;2;1;1;5.00
FC Andorra;Min-su;Delantero;10;1290000;2;0;2;5.00
Burgos CF;Mateo Mejía;Delantero;10;1170000;2;1;1;5.00
Leganés;Naim García;Delantero;10;1130000;2;1;1;5.00
Cultural Leonesa;Juan Larios;Defensa;10;1130000;3;1;2;3.33
FC Andorra;Jastin Garcia;Delantero;10;1100000;2;0;2;5.00
Real Sociedad B;Tomy Carbonell;Centrocampista;10;740000;3;2;1;3.33
Cultural Leonesa;Matia Barzic;Defensa;10;650000;2;1;1;5.00
Cádiz;Suso;Delantero;9;6410000;2;1;1;4.50
Las Palmas;Mika Mármol;Defensa;9;4020000;2;1;1;4.50
Córdoba;Carlos Marín;Portero;9;3650000;2;1;1;4.50
Las Palmas;Jeremía Recoba;Delantero;9;3080000;2;1;1;4.50
Leganés;Rubén Peña;Defensa;9;3040000;2;1;1;4.50
Racing;Yeray Cabanzón;Centrocampista;9;2950000;2;1;1;4.50
Cádiz;Moussa Diakité;Centrocampista;9;2950000;2;1;1;4.50
Cádiz;Bojan Kovacevic;Defensa;9;2940000;2;1;1;4.50
Almería;Álex Muñoz;Defensa;9;2780000;3;1;2;3.00
Real Valladolid;Víctor Meseguer;Centrocampista;9;2750000;2;1;1;4.50
Granada;Sergio Ruiz;Centrocampista;9;2750000;2;1;1;4.50
CD Castellon;Gerenabarrena;Centrocampista;9;2580000;2;1;1;4.50
Eibar;Sergio Cubero;Defensa;9;2310000;2;1;1;4.50
Eibar;Leonardo Buta;Defensa;9;2090000;2;1;1;4.50
Málaga;Carlos Puga;Defensa;9;1730000;2;2;0;4.50
Eibar;Marco Moreno;Defensa;9;1730000;2;1;1;4.50
Huesca;Julio Alonso;Defensa;9;1470000;2;1;1;4.50
Mirandes;Ismael Barea;Centrocampista;9;1460000;2;1;1;4.50
Cultural Leonesa;Luis Chacón;Delantero;9;1360000;3;1;2;3.00
Huesca;Liberto;Centrocampista;9;1320000;2;1;1;4.50
Cádiz;Víctor Aznar;Portero;9;1200000;2;1;1;4.50
Albacete;Javi Villar;Centrocampista;9;1170000;2;1;1;4.50
Real Sociedad B;Mariezkurrena;Delantero;9;1110000;3;2;1;3.00
Real Sociedad B;Alex Lebarbier;Centrocampista;9;1030000;3;2;1;3.00
Málaga;Víctor García;Defensa;9;890000;2;2;0;4.50
Cultural Leonesa;Bicho;Centrocampista;9;880000;3;1;2;3.00
Huesca;Jesús Álvarez;Centrocampista;9;820000;2;1;1;4.50
Córdoba;Adrián Fuentes;Delantero;9;630000;1;1;0;9.00
Cultural Leonesa;Rodri Suárez;Defensa;9;530000;2;1;1;4.50
Cultural Leonesa;Pastoriza;Delantero;9;370000;3;1;2;3.00
Real Sociedad B;Unax Agote;Defensa;9;360000;3;2;1;3.00
Leganés;Diego Garcia;Delantero;8;4100000;2;1;1;4.00
Zaragoza;Paulino;Centrocampista;8;3780000;1;0;1;8.00
Leganés;Seydouba Cisse;Centrocampista;8;3500000;2;1;1;4.00
Albacete;Riki Rodríguez;Centrocampista;8;3230000;1;1;0;8.00
Almería;André Horta;Centrocampista;8;3230000;2;1;1;4.00
CD Castellon;Jérémy Mellot;Defensa;8;3070000;2;1;1;4.00
Las Palmas;Dinko Horkas;Portero;8;2790000;2;1;1;4.00
Cultural Leonesa;Paraschiv;Delantero;8;2740000;3;1;2;2.67
Albacete;Diego Mariño;Portero;8;2640000;2;1;1;4.00
Málaga;Francisco Montero;Defensa;8;2610000;2;2;0;4.00
Málaga;Joaquín Muñoz;Delantero;8;2370000;2;2;0;4.00
Burgos CF;Iñigo Córdoba;Delantero;8;2370000;2;1;1;4.00
Eibar;Sergio Álvarez;Centrocampista;8;2210000;2;1;1;4.00
Leganés;Gonzalo Aguilar;Defensa;8;1790000;2;1;1;4.00
Deportivo;Germán Parreño;Portero;8;1370000;2;1;1;4.00
Huesca;Daniel Ojeda;Delantero;8;1150000;1;1;0;8.00
Zaragoza;Adrián Rodríguez;Portero;8;1090000;2;1;1;4.00
Mirandes;Toni Tamarit;Delantero;8;860000;2;1;1;4.00
Real Sociedad B;Mikel Rodriguez;Centrocampista;8;800000;3;2;1;2.67
Cultural Leonesa;Víctor García;Defensa;8;620000;3;1;2;2.67
Almería;Selvi Clua;Centrocampista;8;490000;3;1;2;2.67
Real Sociedad B;Ekain Orobengoa;Delantero;8;370000;3;2;1;2.67
Ceuta;Ugiagbe;Delantero;8;280000;2;1;1;4.00
Almería;Patrick Soko;Delantero;7;6950000;3;1;2;2.33
CD Castellon;Álex Calatrava;Delantero;7;6330000;2;1;1;3.50
Deportivo;Luismi Cruz;Delantero;7;5450000;2;1;1;3.50
Deportivo;David Mella;Delantero;7;4450000;2;1;1;3.50
Zaragoza;Francho Serrano;Centrocampista;7;3760000;2;1;1;3.50
Córdoba;Sergi Guardiola;Delantero;7;3540000;2;1;1;3.50
Zaragoza;Guti;Centrocampista;7;3230000;2;1;1;3.50
Leganés;Jorge Sáenz;Defensa;7;3160000;2;1;1;3.50
Ceuta;Anuar;Centrocampista;7;2820000;2;1;1;3.50
Mirandes;Juan Gutiérrez;Defensa;7;2590000;2;1;1;3.50
Deportivo;Ximo Navarro;Defensa;7;2510000;2;1;1;3.50
Eibar;Peru Nolaskoain;Centrocampista;7;2500000;2;1;1;3.50
Málaga;Izan Merino;Centrocampista;7;2210000;2;2;0;3.50
Leganés;Marvel;Defensa;7;1810000;2;1;1;3.50
FC Andorra;Manuel Nieto;Delantero;7;1240000;2;0;2;3.50
Eibar;Javi Martínez;Centrocampista;7;1240000;2;1;1;3.50
Huesca;Toni Abad;Centrocampista;7;1040000;2;1;1;3.50
Cultural Leonesa;Manu Justo;Delantero;7;960000;3;1;2;2.33
Cultural Leonesa;Rafael Tresaco;Delantero;7;950000;2;1;1;3.50
FC Andorra;Marc Bombardó;Defensa;7;940000;2;0;2;3.50
Ceuta;Pedro López;Portero;7;800000;1;1;0;7.00
Burgos CF;Álex Lizancos;Defensa;7;680000;2;1;1;3.50
Ceuta;Youness Lachhab;Centrocampista;7;670000;2;1;1;3.50
Mirandes;Fernando Medrano;Defensa;7;620000;2;1;1;3.50
Sporting;Amadou Coundoul;Delantero;7;360000;2;1;1;3.50
Racing;Aritz Aldasoro;Centrocampista;6;3660000;2;1;1;3.00
Zaragoza;Mario Soberón;Delantero;6;3540000;2;1;1;3.00
CD Castellon;Awer Mabil;Delantero;6;3030000;2;1;1;3.00
Córdoba;Ignasi Vilarrasa;Centrocampista;6;2970000;2;1;1;3.00
Racing;Peio Canales;Centrocampista;6;2710000;2;1;1;3.00
Leganés;Amadou Diawara;Centrocampista;6;2620000;2;1;1;3.00
Mirandes;Adrián Pica;Defensa;6;1920000;2;1;1;3.00
Las Palmas;Marvin Park;Delantero;6;1730000;2;1;1;3.00
Deportivo;Arnau Comas;Defensa;6;1540000;2;1;1;3.00
Córdoba;Carlos Isaac;Defensa;6;1430000;2;1;1;3.00
Zaragoza;Dani Gómez;Delantero;6;1410000;2;1;1;3.00
Córdoba;Franck Fomeyem;Defensa;6;1400000;2;1;1;3.00
FC Andorra;Thomas Carrique;Defensa;6;1260000;2;0;2;3.00
Almería;Marcos Luna;Defensa;6;1250000;3;1;2;2.00
Burgos CF;Kévin Appin;Centrocampista;6;1240000;2;1;1;3.00
Sporting;Justin Smith;Centrocampista;6;1060000;2;1;1;3.00
CD Castellon;Salva Ruiz;Defensa;6;920000;2;1;1;3.00
Ceuta;Almenara;Defensa;6;670000;2;1;1;3.00
Las Palmas;Edward Cedeño;Centrocampista;6;590000;2;1;1;3.00
Cultural Leonesa;Quique Fornos;Defensa;6;580000;3;1;2;2.00
Huesca;Álvaro Carrillo;Defensa;6;570000;2;1;1;3.00
Córdoba;Álex Martín;Defensa;6;560000;2;1;1;3.00
Real Valladolid;Trilli;Defensa;6;400000;2;1;1;3.00
FC Andorra;Olabarrieta;Delantero;6;370000;2;0;2;3.00
CD Castellon;Serpeta;Delantero;6;350000;2;1;1;3.00
Deportivo;Yeremay Hernández;Delantero;5;13490000;2;1;1;2.50
Córdoba;Carracedo;Delantero;5;6230000;2;1;1;2.50
Mirandes;Igor Nikic;Portero;5;4230000;1;1;0;5.00
Las Palmas;Enzo Loiodice;Centrocampista;5;3800000;2;1;1;2.50
Cádiz;Youssouf Diarra;Centrocampista;5;3270000;2;1;1;2.50
Cádiz;Mario Climent;Defensa;5;2940000;2;1;1;2.50
Zaragoza;Sebas Moyano;Centrocampista;5;2920000;2;1;1;2.50
Racing;Sangalli;Centrocampista;5;2710000;2;1;1;2.50
Granada;Manu Trigueros;Centrocampista;5;2600000;2;1;1;2.50
Málaga;Carlos Dotor;Centrocampista;5;2570000;2;2;0;2.50
Córdoba;Rubén González;Defensa;5;1990000;1;0;1;5.00
Ceuta;Yann Bodiger;Centrocampista;5;1640000;2;1;1;2.50
Ceuta;Matos;Defensa;5;1370000;1;1;0;5.00
Huesca;Samuel Ntamack;Delantero;5;1330000;2;1;1;2.50
Eibar;Aritz Arambarri;Defensa;5;1250000;2;1;1;2.50
Zaragoza;Iván Calero;Defensa;5;1220000;2;1;1;2.50
Ceuta;Cristian Rodríguez;Centrocampista;5;1080000;2;1;1;2.50
Sporting;Eric Curbelo;Defensa;5;1060000;2;1;1;2.50
CD Castellon;Diego Barri;Defensa;5;1010000;2;1;1;2.50
CD Castellon;Brian Cipenga;Delantero;5;890000;1;0;1;5.00
Albacete;Victor Valverde;Delantero;5;750000;2;1;1;2.50
Las Palmas;Marc Cardona;Delantero;5;690000;2;1;1;2.50
Málaga;Dani Lorenzo;Centrocampista;5;660000;2;2;0;2.50
Ceuta;Kuki Zalazar;Delantero;5;660000;2;1;1;2.50
Deportivo;Mohamed Bouldini;Delantero;5;580000;2;1;1;2.50
Albacete;José Lazo;Delantero;5;410000;2;1;1;2.50
Racing;Jeremy Arévalo;Delantero;5;410000;2;1;1;2.50
Ceuta;Bassinga;Centrocampista;5;360000;2;1;1;2.50
Cultural Leonesa;Roger Hinojo;Defensa;5;350000;1;0;1;5.00
Cádiz;Alfred Caicedo;Defensa;5;320000;1;0;1;5.00
Real Valladolid;Xavi Moreno;Delantero;5;320000;2;1;1;2.50
FC Andorra;Aitor Uzkudun;Delantero;5;270000;2;0;2;2.50
Leganés;Melero;Centrocampista;4;3130000;2;1;1;2.00
Málaga;Chupete;Delantero;4;2800000;2;2;0;2.00
Zaragoza;Aketxe;Delantero;4;2550000;1;0;1;4.00
Almería;Chumi;Defensa;4;2080000;3;1;2;1.33
Las Palmas;Sergio Barcia;Defensa;4;2020000;2;1;1;2.00
Mirandes;Carlos Fernández;Delantero;4;1950000;1;1;0;4.00
Las Palmas;Cristian Gutiérrez;Defensa;4;1930000;2;1;1;2.00
Córdoba;Kevin Villodres;Delantero;4;1720000;2;1;1;2.00
Ceuta;Juanto Ortuño;Delantero;4;1460000;2;1;1;2.00
Zaragoza;Pau Sans;Delantero;4;1420000;2;1;1;2.00
Málaga;Dani Sánchez;Defensa;4;1280000;1;1;0;4.00
Albacete;Jefté Betancor;Delantero;4;1280000;2;1;1;2.00
Las Palmas;Iván Gil;Centrocampista;4;1250000;1;1;0;4.00
Eibar;Adu Ares;Delantero;4;1210000;1;1;0;4.00
Almería;Lázaro;Delantero;4;1070000;3;1;2;1.33
Racing;Íñigo Sainz-Maza;Centrocampista;4;970000;2;1;1;2.00
Zaragoza;Juan Sebastián;Defensa;4;820000;2;1;1;2.00
Ceuta;Guillermo Vallejo;Portero;4;680000;1;0;1;4.00
Albacete;Alejandro Meléndez;Centrocampista;4;640000;2;1;1;2.00
FC Andorra;Théo Le Normand;Centrocampista;4;640000;2;0;2;2.00
Cádiz;De la Rosa;Delantero;4;610000;2;1;1;2.00
CD Castellon;Nick Markanich;Delantero;4;520000;2;1;1;2.00
Granada;Souleymane Faye;Delantero;4;490000;1;0;1;4.00
Almería;Gui Guedes;Centrocampista;4;340000;1;0;1;4.00
Albacete;Lorenzo Aguado;Defensa;4;280000;2;1;1;2.00
Cultural Leonesa;Guzmán Ortega;Defensa;4;250000;2;0;2;2.00
Las Palmas;Jonathan Viera;Centrocampista;3;6340000;1;0;1;3.00
Granada;Stoichkov;Delantero;3;3950000;2;1;1;1.50
Mirandes;Álex Suárez;Centrocampista;3;2910000;1;1;0;3.00
Leganés;Roberto López;Centrocampista;3;2750000;1;0;1;3.00
Leganés;Óscar Plano;Centrocampista;3;2610000;2;1;1;1.50
Granada;Luca Zidane;Portero;3;2530000;2;1;1;1.50
Racing;Michelin;Defensa;3;2120000;1;1;0;3.00
Zaragoza;Dani Tasende;Defensa;3;2030000;2;1;1;1.50
Granada;Pablo Sáenz;Delantero;3;1970000;2;1;1;1.50
Mirandes;Thiago Helguera;Centrocampista;3;1930000;1;1;0;3.00
Málaga;Luismi;Centrocampista;3;1910000;1;1;0;3.00
Cádiz;Roger;Delantero;3;1900000;1;1;0;3.00
Granada;Jorge Pascual;Delantero;3;1890000;1;0;1;3.00
Albacete;Jonathan Gómez;Defensa;3;1720000;2;1;1;1.50
Málaga;Julen Lobete;Delantero;3;1600000;2;2;0;1.50
Leganés;Pauwels;Delantero;3;1430000;1;1;0;3.00
Granada;Baïla Diallo;Defensa;3;1180000;1;1;0;3.00
Real Valladolid;Nikitscher;Centrocampista;3;1100000;1;1;0;3.00
Córdoba;Dani Requena;Centrocampista;3;920000;1;1;0;3.00
CD Castellon;Marc-Olivier Doué;Centrocampista;3;870000;1;1;0;3.00
Albacete;Jon García;Defensa;3;830000;2;1;1;1.50
Mirandes;Martín Pascual;Defensa;3;800000;1;1;0;3.00
CD Castellon;Pablo Santiago;Delantero;3;800000;1;1;0;3.00
Córdoba;Obolskiy;Delantero;3;790000;2;1;1;1.50
Ceuta;Andy Escudero;Centrocampista;3;750000;1;0;1;3.00
Cultural Leonesa;Yayo;Centrocampista;3;730000;1;0;1;3.00
Eibar;Hodei Arrillaga;Defensa;3;660000;1;0;1;3.00
Eibar;Xeber Alkain;Delantero;3;520000;1;0;1;3.00
Málaga;Aarón Ochoa;Centrocampista;3;510000;1;1;0;3.00
Sporting;Dani Queipo;Delantero;3;490000;2;2;0;1.50
Huesca;Enol Rodríguez;Delantero;3;320000;1;0;1;3.00
Albacete;Javi Moreno;Defensa;3;300000;1;1;0;3.00
Málaga;Juan Pedro;Centrocampista;3;290000;1;1;0;3.00
Real Sociedad B;Eceizabarrena;Centrocampista;3;260000;1;1;0;3.00
Real Sociedad B;Dani Díaz;Delantero;3;260000;1;0;1;3.00
Real Valladolid;Ibrahim Alani;Centrocampista;3;230000;1;0;1;3.00
Huesca;Diego Aznar;Delantero;3;220000;1;1;0;3.00
Real Sociedad B;Kazunari Kita;Defensa;3;190000;1;1;0;3.00
Real Sociedad B;Alex Marchal;Delantero;3;180000;1;1;0;3.00
Albacete;Jesús Vallejo;Defensa;2;3230000;1;0;1;2.00
Cádiz;Álex Fernández;Centrocampista;2;2300000;1;1;0;2.00
Sporting;Mamadou Loum;Centrocampista;2;2050000;1;1;0;2.00
Las Palmas;Alex Suárez;Defensa;2;1980000;1;0;1;2.00
Deportivo;Quagliata;Defensa;2;1940000;1;1;0;2.00
Racing;Mario García;Defensa;2;1850000;1;0;1;2.00
Real Valladolid;Marcos de Sousa;Delantero;2;1680000;1;1;0;2.00
CD Castellon;Brignani;Defensa;2;1640000;1;0;1;2.00
Leganés;Álex Millán;Delantero;2;1370000;2;1;1;1.00
Córdoba;Alberto del Moral;Centrocampista;2;1140000;1;1;0;2.00
Zaragoza;Toni Moya;Centrocampista;2;1140000;1;1;0;2.00
Sporting;Pablo García;Defensa;2;1100000;1;1;0;2.00
Leganés;Ignasi Miquel;Defensa;2;1080000;1;0;1;2.00
Albacete;Antonio Pacheco;Centrocampista;2;980000;1;0;1;2.00
Mirandes;Aarón Martin;Centrocampista;2;940000;2;1;1;1.00
CD Castellon;Kenneth Mamah;Delantero;2;880000;1;1;0;2.00
CD Castellon;Agustín Sienra;Defensa;2;870000;2;1;1;1.00
Córdoba;Juan María Alcedo;Defensa;2;720000;1;0;1;2.00
Real Sociedad B;Jon Balda;Defensa;2;680000;1;1;0;2.00
FC Andorra;Álex Petxa;Defensa;2;670000;1;0;1;2.00
Las Palmas;Pejiño;Delantero;2;640000;1;1;0;2.00
Granada;Weissman;Delantero;2;620000;1;1;0;2.00
Mirandes;Iker Varela;Delantero;2;570000;2;1;1;1.00
Sporting;Jordy Caicedo;Delantero;2;530000;2;2;0;1.00
Ceuta;Manu Vallejo;Delantero;2;510000;2;1;1;1.00
CD Castellon;Tincho Conde;Defensa;2;500000;1;0;1;2.00
Granada;Sergio Rodelas;Delantero;2;440000;1;1;0;2.00
Leganés;Carlos Guirao;Centrocampista;2;440000;1;1;0;2.00
Ceuta;Diego González;Defensa;2;400000;1;1;0;2.00
Sporting;Kevin Vázquez;Defensa;2;400000;1;1;0;2.00
Málaga;Diego Murillo;Defensa;2;380000;1;1;0;2.00
Deportivo;Cristian Herrera;Delantero;2;330000;1;0;1;2.00
Ceuta;Aisar Ahmed;Centrocampista;2;330000;1;1;0;2.00
Cultural Leonesa;Nico Toca;Centrocampista;2;160000;1;1;0;2.00
Real Valladolid;Iván Garriel;Defensa;2;150000;2;1;1;1.00
Sporting;Pierre Mbemba;Defensa;2;150000;1;0;1;2.00
Granada;José Arnaiz;Delantero;1;2560000;1;0;1;1.00
Cádiz;Sergio Ortuño;Centrocampista;1;2520000;1;0;1;1.00
Almería;Daijiro Chirino;Defensa;1;2390000;1;1;0;1.00
Almería;Álex Centelles;Defensa;1;2210000;2;1;1;0.50
Zaragoza;Valery Fernández;Delantero;1;2180000;1;1;0;1.00
Mirandes;Gonzalo Petit;Delantero;1;2140000;2;1;1;0.50
Córdoba;Théo Zidane;Centrocampista;1;1960000;1;1;0;1.00
Córdoba;Pedro Ortiz;Centrocampista;1;1910000;1;0;1;1.00
Córdoba;Albarrán;Defensa;1;1680000;2;1;1;0.50
Racing;Álvaro Mantilla;Defensa;1;1270000;2;1;1;0.50
Mirandes;Palomares;Portero;1;730000;1;0;1;1.00
Granada;Pedro Alemañ;Centrocampista;1;510000;1;0;1;1.00
CD Castellon;Óscar Gil;Defensa;1;490000;1;1;0;1.00
Ceuta;Kialy Kone;Delantero;1;450000;1;0;1;1.00
Real Valladolid;Mario Maroto;Centrocampista;1;220000;1;0;1;1.00
Cádiz;Iuri Tabatadze;Delantero;0;5250000;0;0;0;0.00
Deportivo;Mulattieri;Delantero;0;4210000;0;0;0;0.00
Las Palmas;Sandro Ramírez;Delantero;0;4010000;0;0;0;0.00
Huesca;Francisco Portillo;Centrocampista;0;3940000;0;0;0;0.00
Deportivo;Daniel Bachmann;Portero;0;3580000;0;0;0;0.00
Eibar;Jon Bautista;Delantero;0;3270000;0;0;0;0.00
Las Palmas;Kirian Rodríguez;Centrocampista;0;3210000;0;0;0;0.00
Leganés;Juan Cruz;Delantero;0;3180000;0;0;0;0.00
Racing;Arana;Delantero;0;2840000;0;0;0;0.00
Real Valladolid;Julien Ponceau;Centrocampista;0;2830000;0;0;0;0.00
